,cantidad,nombre,categoria,precio,dia,dia_semana,mes
125,2,Queso rallado,Lacteos,15400,15,4,2
126,1,Papas fritas,Congelados,6600,15,4,2
127,3,Tomates,Frutas y Verduras,5200,16,5,2
128,5,Manzanas,Frutas y Verduras,5200,16,5,2
129,2,Lechugas,Frutas y Verduras,3400,16,5,2
130,2,Facturas,Panaderia,9900,16,5,2
131,1,Facturas,Panaderia,9900,16,5,2
132,1,Pan integral,Panaderia,10000,16,5,2
133,5,Atun enlatado,Conservas,5000,16,5,2
134,1,Papas chips,Galletitas y Snacks,6800,16,5,2
135,3,Pizza congelada,Congelados,12400,16,5,2
136,6,Lentejas,Conservas,2600,16,5,2
137,2,Chorizo,Carniceria,9000,16,5,2
138,3,Queso cremoso,Lacteos,13800,16,5,2
139,2,Lechugas,Frutas y Verduras,3400,17,6,2
140,4,Queso cremoso,Lacteos,13800,17,6,2
141,6,Galletitas de chocolate,Galletitas y Snacks,5000,17,6,2
142,5,Bananas,Frutas y Verduras,5800,17,6,2
143,4,Chorizo,Carniceria,9000,17,6,2
144,6,Galletitas de agua,Galletitas y Snacks,4200,17,6,2
145,5,Yogur,Lacteos,4200,17,6,2
146,2,Cerveza,Bebidas,9200,17,6,2
147,5,Hamburgesas congeladas,Congelados,7600,17,6,2
148,3,Milanesa,Carniceria,13000,17,6,2
149,1,Atun enlatado,Conservas,5000,17,6,2
150,6,Medialunas,Panaderia,2800,17,6,2
151,2,Agua mineral,Bebidas,5000,18,7,2
152,5,Papas fritas,Congelados,6600,18,7,2
153,5,Pan integral,Panaderia,10000,18,7,2
154,1,Cerveza,Bebidas,9200,18,7,2
155,4,Zanahorias,Frutas y Verduras,2600,18,7,2
156,1,Papas fritas,Congelados,6600,18,7,2
157,2,Facturas,Panaderia,9900,18,7,2
158,3,Agua mineral,Bebidas,5000,18,7,2
159,6,Salchicha,Carniceria,9000,18,7,2
160,4,Manzanas,Frutas y Verduras,5200,18,7,2
161,4,Atun enlatado,Conservas,5000,18,7,2
162,4,Agua mineral,Bebidas,5000,18,7,2
163,4,Medialunas,Panaderia,2800,18,7,2
164,2,Chorizo,Carniceria,9000,18,7,2
165,2,Vino tinto,Bebidas,10800,19,1,2
166,5,Agua mineral,Bebidas,5000,19,1,2
167,5,Pan integral,Panaderia,10000,19,1,2
168,4,Cerveza,Bebidas,9200,19,1,2
169,3,Chorizo,Carniceria,9000,19,1,2
170,5,Cerveza,Bebidas,9200,19,1,2
171,2,Salchicha,Carniceria,9000,19,1,2
172,2,Garbanzos,Conservas,2900,19,1,2
173,1,Pollo,Carniceria,14800,19,1,2
174,6,Pizza congelada,Congelados,12400,20,2,2
175,2,Salchicha,Carniceria,9000,20,2,2
176,5,Cerveza,Bebidas,9200,20,2,2
177,5,Salchicha,Carniceria,9000,20,2,2
178,5,Pan frances,Panaderia,6500,20,2,2
179,4,Milanesa,Carniceria,13000,20,2,2
180,4,Yogur,Lacteos,4200,20,2,2
181,2,Arroz,Conservas,3400,20,2,2
182,1,Salchicha,Carniceria,9000,20,2,2
183,1,Yogur,Lacteos,4200,21,3,2
184,1,Facturas,Panaderia,9900,21,3,2
185,2,Facturas,Panaderia,9900,21,3,2
186,4,Chorizo,Carniceria,9000,21,3,2
187,3,Pollo,Carniceria,14800,21,3,2
188,3,Papas chips,Galletitas y Snacks,6800,21,3,2
189,5,Yogur,Lacteos,4200,21,3,2
190,4,Manteca,Lacteos,4500,21,3,2
191,2,Pan frances,Panaderia,6500,22,4,2
192,3,Manteca,Lacteos,4500,22,4,2
193,6,Atun enlatado,Conservas,5000,22,4,2
194,1,Galletitas de chocolate,Galletitas y Snacks,5000,22,4,2
195,4,Pollo,Carniceria,14800,22,4,2
196,4,Galletitas de chocolate,Galletitas y Snacks,5000,22,4,2
197,1,Papas fritas,Congelados,6600,22,4,2
198,6,Jugos de frutas,Bebidas,7600,22,4,2
199,2,Leche,Lacteos,9800,22,4,2
200,3,Facturas,Panaderia,9900,22,4,2
201,5,Queso rallado,Lacteos,15400,23,5,2
202,4,Costilla de cerdo,Carniceria,11400,23,5,2
203,2,Atun enlatado,Conservas,5000,23,5,2
204,2,Queso rallado,Lacteos,15400,23,5,2
205,2,Manies,Galletitas y Snacks,4400,23,5,2
206,1,Garbanzos,Conservas,2900,24,6,2
207,1,Pan integral,Panaderia,10000,24,6,2
208,3,Chorizo,Carniceria,9000,24,6,2
209,1,Vino tinto,Bebidas,10800,24,6,2
210,1,Salchicha,Carniceria,9000,24,6,2
211,2,Atun enlatado,Conservas,5000,24,6,2
212,4,Papas fritas,Congelados,6600,24,6,2
213,4,Leche,Lacteos,9800,24,6,2
214,3,Chorizo,Carniceria,9000,24,6,2
215,5,Queso cremoso,Lacteos,13800,24,6,2
216,1,Costilla de cerdo,Carniceria,11400,25,7,2
217,2,Papas chips,Galletitas y Snacks,6800,25,7,2
218,1,Manzanas,Frutas y Verduras,5200,25,7,2
219,4,Leche,Lacteos,9800,25,7,2
220,2,Leche,Lacteos,9800,25,7,2
221,4,Pollo,Carniceria,14800,25,7,2
222,2,Hamburgesas congeladas,Congelados,7600,26,1,2
223,1,Queso cremoso,Lacteos,13800,26,1,2
224,6,Pizza congelada,Congelados,12400,26,1,2
225,4,Galletitas de chocolate,Galletitas y Snacks,5000,26,1,2
226,1,Papas fritas,Congelados,6600,26,1,2
227,3,Queso cremoso,Lacteos,13800,26,1,2
228,2,Facturas,Panaderia,9900,27,2,2
229,6,Atun enlatado,Conservas,5000,27,2,2
230,1,Cebolla,Frutas y Verduras,3400,27,2,2
231,6,Tortas,Panaderia,12200,27,2,2
232,3,Hamburgesas congeladas,Congelados,7600,27,2,2
233,5,Cebolla,Frutas y Verduras,3400,27,2,2
234,1,Tomates,Frutas y Verduras,5200,27,2,2
235,2,Costilla de cerdo,Carniceria,11400,28,3,2
236,6,Asado,Carniceria,22800,28,3,2
237,4,Hamburgesas congeladas,Congelados,7600,28,3,2
238,6,Pizza congelada,Congelados,12400,28,3,2
239,1,Papas chips,Galletitas y Snacks,6800,28,3,2
240,1,Manzanas,Frutas y Verduras,5200,28,3,2
241,2,Arroz,Conservas,3400,28,3,2
242,4,Pizza congelada,Congelados,12400,28,3,2
243,5,Medialunas,Panaderia,2800,28,3,2
244,4,Papas fritas,Congelados,6600,28,3,2
245,4,Pizza congelada,Congelados,12400,28,3,2
246,3,Zanahorias,Frutas y Verduras,2600,29,4,2
247,5,Galletitas de chocolate,Galletitas y Snacks,5000,29,4,2
248,5,Queso rallado,Lacteos,15400,29,4,2
249,6,Vino tinto,Bebidas,10800,29,4,2
250,1,Zanahorias,Frutas y Verduras,2600,29,4,2
251,2,Pan integral,Panaderia,10000,29,4,2
252,2,Facturas,Panaderia,9900,29,4,2
253,3,Pan frances,Panaderia,6500,29,4,2
254,6,Lechugas,Frutas y Verduras,3400,29,4,2
255,2,Chorizo,Carniceria,9000,29,4,2
256,3,Agua mineral,Bebidas,5000,1,5,3
257,3,Atun enlatado,Conservas,5000,1,5,3
258,3,Agua mineral,Bebidas,5000,1,5,3
259,1,Yogur,Lacteos,4200,1,5,3
260,2,Facturas,Panaderia,9900,1,5,3
261,1,Milanesa,Carniceria,13000,1,5,3
262,1,Bananas,Frutas y Verduras,5800,1,5,3
263,5,Tomates,Frutas y Verduras,5200,1,5,3
264,6,Manteca,Lacteos,4500,1,5,3
265,5,Papas fritas,Congelados,6600,2,6,3
266,6,Tomates,Frutas y Verduras,5200,2,6,3
267,5,Pizza congelada,Congelados,12400,2,6,3
268,3,Manteca,Lacteos,4500,2,6,3
269,5,Facturas,Panaderia,9900,3,7,3
270,5,Milanesa,Carniceria,13000,3,7,3
271,1,Pan frances,Panaderia,6500,3,7,3
272,4,Jugos de frutas,Bebidas,7600,3,7,3
273,3,Atun enlatado,Conservas,5000,3,7,3
274,1,Hamburgesas congeladas,Congelados,7600,3,7,3
275,3,Pan frances,Panaderia,6500,3,7,3
276,1,Manteca,Lacteos,4500,3,7,3
277,5,Cerveza,Bebidas,9200,3,7,3
278,6,Papas chips,Galletitas y Snacks,6800,3,7,3
279,6,Cebolla,Frutas y Verduras,3400,3,7,3
280,6,Cebolla,Frutas y Verduras,3400,3,7,3
281,4,Hamburgesas congeladas,Congelados,7600,3,7,3
282,1,Galletitas de chocolate,Galletitas y Snacks,5000,3,7,3
283,2,Leche,Lacteos,9800,3,7,3
284,1,Galletitas de chocolate,Galletitas y Snacks,5000,3,7,3
285,5,Salchicha,Carniceria,9000,4,1,3
286,3,Leche,Lacteos,9800,4,1,3
287,1,Facturas,Panaderia,9900,4,1,3
288,5,Zanahorias,Frutas y Verduras,2600,4,1,3
289,5,Yogur,Lacteos,4200,4,1,3
290,6,Costilla de cerdo,Carniceria,11400,4,1,3
291,4,Galletitas de agua,Galletitas y Snacks,4200,5,2,3
292,5,Pan frances,Panaderia,6500,5,2,3
293,5,Facturas,Panaderia,9900,5,2,3
294,2,Hamburgesas congeladas,Congelados,7600,5,2,3
295,5,Manies,Galletitas y Snacks,4400,5,2,3
296,5,Yogur,Lacteos,4200,5,2,3
297,3,Papas fritas,Congelados,6600,6,3,3
298,6,Empanadas,Congelados,10800,6,3,3
299,3,Manzanas,Frutas y Verduras,5200,6,3,3
300,2,Manies,Galletitas y Snacks,4400,6,3,3
301,1,Yogur,Lacteos,4200,6,3,3
302,1,Chorizo,Carniceria,9000,6,3,3
303,6,Lechugas,Frutas y Verduras,3400,6,3,3
304,3,Arroz,Conservas,3400,7,4,3
305,5,Papas fritas,Congelados,6600,7,4,3
306,2,Lechugas,Frutas y Verduras,3400,7,4,3
307,3,Chorizo,Carniceria,9000,7,4,3
308,2,Cebolla,Frutas y Verduras,3400,7,4,3
309,4,Pizza congelada,Congelados,12400,7,4,3
310,5,Pan integral,Panaderia,10000,7,4,3
311,2,Queso rallado,Lacteos,15400,7,4,3
312,5,Hamburgesas congeladas,Congelados,7600,7,4,3
313,1,Queso cremoso,Lacteos,13800,7,4,3
314,4,Lentejas,Conservas,2600,7,4,3
315,2,Manzanas,Frutas y Verduras,5200,7,4,3
316,6,Queso rallado,Lacteos,15400,7,4,3
317,1,Pan integral,Panaderia,10000,8,5,3
318,5,Cerveza,Bebidas,9200,8,5,3
319,6,Zanahorias,Frutas y Verduras,2600,8,5,3
320,3,Papas fritas,Congelados,6600,8,5,3
321,6,Arroz,Conservas,3400,8,5,3
322,4,Manzanas,Frutas y Verduras,5200,8,5,3
323,5,Hamburgesas congeladas,Congelados,7600,8,5,3
324,1,Vino tinto,Bebidas,10800,8,5,3
325,2,Medialunas,Panaderia,2800,9,6,3
326,6,Pollo,Carniceria,14800,9,6,3
327,6,Empanadas,Congelados,10800,9,6,3
328,3,Facturas,Panaderia,9900,9,6,3
329,2,Yogur,Lacteos,4200,9,6,3
330,1,Lentejas,Conservas,2600,9,6,3
331,6,Empanadas,Congelados,10800,9,6,3
332,6,Pollo,Carniceria,14800,10,7,3
333,5,Salchicha,Carniceria,9000,10,7,3
334,6,Pan integral,Panaderia,10000,10,7,3
335,5,Hamburgesas congeladas,Congelados,7600,10,7,3
336,2,Garbanzos,Conservas,2900,10,7,3
337,6,Galletitas de agua,Galletitas y Snacks,4200,10,7,3
338,1,Yogur,Lacteos,4200,11,1,3
339,5,Pizza congelada,Congelados,12400,11,1,3
340,2,Papas fritas,Congelados,6600,11,1,3
341,2,Pollo,Carniceria,14800,11,1,3
342,3,Salchicha,Carniceria,9000,11,1,3
343,2,Yogur,Lacteos,4200,11,1,3
344,5,Medialunas,Panaderia,2800,12,2,3
345,6,Cerveza,Bebidas,9200,12,2,3
346,6,Pan integral,Panaderia,10000,12,2,3
347,6,Asado,Carniceria,22800,12,2,3
348,5,Salchicha,Carniceria,9000,12,2,3
349,6,Queso cremoso,Lacteos,13800,12,2,3
350,2,Pollo,Carniceria,14800,12,2,3
351,6,Galletitas de agua,Galletitas y Snacks,4200,12,2,3
352,4,Manzanas,Frutas y Verduras,5200,13,3,3
353,6,Queso cremoso,Lacteos,13800,13,3,3
354,5,Asado,Carniceria,22800,13,3,3
355,4,Pan frances,Panaderia,6500,13,3,3
356,5,Queso cremoso,Lacteos,13800,13,3,3
357,5,Salchicha,Carniceria,9000,13,3,3
358,1,Costilla de cerdo,Carniceria,11400,13,3,3
359,5,Bananas,Frutas y Verduras,5800,13,3,3
360,3,Leche,Lacteos,9800,13,3,3
361,1,Arroz,Conservas,3400,13,3,3
362,1,Yogur,Lacteos,4200,14,4,3
363,5,Pan integral,Panaderia,10000,14,4,3
364,3,Atun enlatado,Conservas,5000,14,4,3
365,5,Pollo,Carniceria,14800,14,4,3
366,2,Manzanas,Frutas y Verduras,5200,14,4,3
367,3,Leche,Lacteos,9800,14,4,3
368,6,Leche,Lacteos,9800,14,4,3
369,1,Garbanzos,Conservas,2900,14,4,3
370,5,Costilla de cerdo,Carniceria,11400,14,4,3
371,1,Pan frances,Panaderia,6500,14,4,3
372,3,Chorizo,Carniceria,9000,14,4,3
373,2,Queso cremoso,Lacteos,13800,15,5,3
374,3,Papas fritas,Congelados,6600,15,5,3
375,4,Manies,Galletitas y Snacks,4400,15,5,3
376,3,Bananas,Frutas y Verduras,5800,15,5,3
377,2,Tortas,Panaderia,12200,15,5,3
378,3,Milanesa,Carniceria,13000,15,5,3
379,4,Salchicha,Carniceria,9000,15,5,3
380,5,Queso cremoso,Lacteos,13800,15,5,3
381,1,Jugos de frutas,Bebidas,7600,15,5,3
382,6,Chorizo,Carniceria,9000,15,5,3
383,6,Atun enlatado,Conservas,5000,15,5,3
384,6,Manies,Galletitas y Snacks,4400,16,6,3
385,5,Galletitas de chocolate,Galletitas y Snacks,5000,16,6,3
386,4,Vino tinto,Bebidas,10800,16,6,3
387,5,Hamburgesas congeladas,Congelados,7600,16,6,3
388,3,Lechugas,Frutas y Verduras,3400,16,6,3
389,2,Tortas,Panaderia,12200,16,6,3
390,1,Zanahorias,Frutas y Verduras,2600,16,6,3
391,5,Cebolla,Frutas y Verduras,3400,16,6,3
392,1,Tortas,Panaderia,12200,16,6,3
393,6,Manies,Galletitas y Snacks,4400,16,6,3
394,6,Salchicha,Carniceria,9000,16,6,3
395,5,Vino tinto,Bebidas,10800,16,6,3
396,5,Chorizo,Carniceria,9000,16,6,3
397,1,Galletitas de chocolate,Galletitas y Snacks,5000,16,6,3
398,3,Costilla de cerdo,Carniceria,11400,17,7,3
399,2,Milanesa,Carniceria,13000,17,7,3
400,6,Medialunas,Panaderia,2800,17,7,3
401,5,Tortas,Panaderia,12200,17,7,3
402,3,Manies,Galletitas y Snacks,4400,17,7,3
403,6,Galletitas de chocolate,Galletitas y Snacks,5000,17,7,3
404,5,Pizza congelada,Congelados,12400,17,7,3
405,4,Atun enlatado,Conservas,5000,17,7,3
406,3,Zanahorias,Frutas y Verduras,2600,17,7,3
407,6,Queso rallado,Lacteos,15400,17,7,3
408,3,Cerveza,Bebidas,9200,17,7,3
409,3,Arroz,Conservas,3400,18,1,3
410,4,Galletitas de chocolate,Galletitas y Snacks,5000,18,1,3
411,3,Yogur,Lacteos,4200,18,1,3
412,2,Tomates,Frutas y Verduras,5200,18,1,3
413,6,Galletitas de agua,Galletitas y Snacks,4200,18,1,3
414,5,Arroz,Conservas,3400,18,1,3
415,2,Salchicha,Carniceria,9000,18,1,3
416,2,Vino tinto,Bebidas,10800,19,2,3
417,3,Cerveza,Bebidas,9200,19,2,3
418,5,Papas fritas,Congelados,6600,19,2,3
419,2,Queso cremoso,Lacteos,13800,19,2,3
420,4,Medialunas,Panaderia,2800,19,2,3
421,4,Cebolla,Frutas y Verduras,3400,19,2,3
422,4,Medialunas,Panaderia,2800,19,2,3
423,1,Tomates,Frutas y Verduras,5200,19,2,3
424,5,Facturas,Panaderia,9900,19,2,3
425,4,Pizza congelada,Congelados,12400,20,3,3
426,6,Galletitas de agua,Galletitas y Snacks,4200,20,3,3
427,3,Papas fritas,Congelados,6600,20,3,3
428,6,Facturas,Panaderia,9900,20,3,3
429,6,Pizza congelada,Congelados,12400,20,3,3
430,2,Queso rallado,Lacteos,15400,20,3,3
431,2,Papas chips,Galletitas y Snacks,6800,20,3,3
432,6,Lentejas,Conservas,2600,20,3,3
433,2,Atun enlatado,Conservas,5000,20,3,3
434,3,Garbanzos,Conservas,2900,20,3,3
435,4,Chorizo,Carniceria,9000,20,3,3
436,1,Tomates,Frutas y Verduras,5200,21,4,3
437,5,Garbanzos,Conservas,2900,21,4,3
438,3,Pizza congelada,Congelados,12400,21,4,3
439,1,Bananas,Frutas y Verduras,5800,21,4,3
440,6,Agua mineral,Bebidas,5000,21,4,3
441,1,Galletitas de agua,Galletitas y Snacks,4200,21,4,3
442,2,Bananas,Frutas y Verduras,5800,21,4,3
443,2,Galletitas de chocolate,Galletitas y Snacks,5000,21,4,3
444,2,Cerveza,Bebidas,9200,22,5,3
445,5,Facturas,Panaderia,9900,22,5,3
446,3,Galletitas de agua,Galletitas y Snacks,4200,22,5,3
447,2,Pan integral,Panaderia,10000,22,5,3
448,4,Asado,Carniceria,22800,22,5,3
449,4,Queso cremoso,Lacteos,13800,22,5,3
450,4,Pizza congelada,Congelados,12400,22,5,3
451,3,Galletitas de agua,Galletitas y Snacks,4200,22,5,3
452,5,Pan frances,Panaderia,6500,22,5,3
453,4,Lentejas,Conservas,2600,22,5,3
454,1,Milanesa,Carniceria,13000,22,5,3
455,2,Asado,Carniceria,22800,22,5,3
456,2,Tortas,Panaderia,12200,23,6,3
457,6,Tortas,Panaderia,12200,23,6,3
458,6,Pan frances,Panaderia,6500,23,6,3
459,4,Queso rallado,Lacteos,15400,23,6,3
460,3,Papas chips,Galletitas y Snacks,6800,23,6,3
461,3,Queso rallado,Lacteos,15400,23,6,3
462,6,Leche,Lacteos,9800,23,6,3
463,5,Pollo,Carniceria,14800,24,7,3
464,1,Manzanas,Frutas y Verduras,5200,24,7,3
465,1,Galletitas de agua,Galletitas y Snacks,4200,24,7,3
466,2,Cerveza,Bebidas,9200,24,7,3
467,4,Medialunas,Panaderia,2800,24,7,3
468,5,Zanahorias,Frutas y Verduras,2600,24,7,3
469,1,Tomates,Frutas y Verduras,5200,25,1,3
470,3,Lechugas,Frutas y Verduras,3400,25,1,3
471,1,Pizza congelada,Congelados,12400,25,1,3
472,5,Lentejas,Conservas,2600,25,1,3
473,2,Agua mineral,Bebidas,5000,25,1,3
474,1,Agua mineral,Bebidas,5000,25,1,3
475,5,Manteca,Lacteos,4500,25,1,3
476,5,Lentejas,Conservas,2600,25,1,3
477,2,Papas chips,Galletitas y Snacks,6800,25,1,3
478,2,Queso rallado,Lacteos,15400,25,1,3
479,4,Manteca,Lacteos,4500,26,2,3
480,4,Manzanas,Frutas y Verduras,5200,26,2,3
481,3,Medialunas,Panaderia,2800,26,2,3
482,5,Hamburgesas congeladas,Congelados,7600,26,2,3
483,4,Asado,Carniceria,22800,26,2,3
484,2,Milanesa,Carniceria,13000,26,2,3
485,6,Empanadas,Congelados,10800,26,2,3
486,6,Yogur,Lacteos,4200,26,2,3
487,6,Chorizo,Carniceria,9000,26,2,3
488,5,Queso cremoso,Lacteos,13800,26,2,3
489,1,Jugos de frutas,Bebidas,7600,26,2,3
490,6,Empanadas,Congelados,10800,27,3,3
491,6,Galletitas de chocolate,Galletitas y Snacks,5000,27,3,3
492,5,Empanadas,Congelados,10800,27,3,3
493,1,Vino tinto,Bebidas,10800,27,3,3
494,5,Cerveza,Bebidas,9200,27,3,3
495,5,Arroz,Conservas,3400,27,3,3
496,1,Pan integral,Panaderia,10000,27,3,3
497,1,Pizza congelada,Congelados,12400,27,3,3
498,4,Atun enlatado,Conservas,5000,27,3,3
499,3,Pizza congelada,Congelados,12400,27,3,3
500,1,Manies,Galletitas y Snacks,4400,27,3,3
501,5,Tomates,Frutas y Verduras,5200,27,3,3
502,2,Galletitas de agua,Galletitas y Snacks,4200,28,4,3
503,4,Costilla de cerdo,Carniceria,11400,28,4,3
504,4,Arroz,Conservas,3400,28,4,3
505,4,Tomates,Frutas y Verduras,5200,28,4,3
506,5,Zanahorias,Frutas y Verduras,2600,28,4,3
507,6,Cebolla,Frutas y Verduras,3400,28,4,3
508,6,Agua mineral,Bebidas,5000,28,4,3
509,3,Papas chips,Galletitas y Snacks,6800,28,4,3
510,2,Vino tinto,Bebidas,10800,29,5,3
511,1,Vino tinto,Bebidas,10800,29,5,3
512,5,Manzanas,Frutas y Verduras,5200,29,5,3
513,6,Galletitas de agua,Galletitas y Snacks,4200,29,5,3
514,4,Lentejas,Conservas,2600,29,5,3
515,5,Jugos de frutas,Bebidas,7600,29,5,3
516,6,Facturas,Panaderia,9900,29,5,3
517,2,Facturas,Panaderia,9900,29,5,3
518,2,Papas fritas,Congelados,6600,29,5,3
519,1,Jugos de frutas,Bebidas,7600,30,6,3
520,5,Pizza congelada,Congelados,12400,30,6,3
521,2,Leche,Lacteos,9800,30,6,3
522,4,Cebolla,Frutas y Verduras,3400,30,6,3
523,5,Leche,Lacteos,9800,30,6,3
524,1,Chorizo,Carniceria,9000,30,6,3
525,3,Arroz,Conservas,3400,31,7,3
526,3,Arroz,Conservas,3400,31,7,3
527,6,Cerveza,Bebidas,9200,31,7,3
528,6,Pan integral,Panaderia,10000,31,7,3
529,2,Arroz,Conservas,3400,31,7,3
530,3,Galletitas de chocolate,Galletitas y Snacks,5000,31,7,3
531,4,Bananas,Frutas y Verduras,5800,31,7,3
532,6,Bananas,Frutas y Verduras,5800,31,7,3
533,4,Tomates,Frutas y Verduras,5200,31,7,3
534,1,Yogur,Lacteos,4200,1,1,4
