,ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
155,131,18/02/2024,17,23,5,4,Completa
156,166,18/02/2024,25,13,5,5,Completa
157,223,18/02/2024,221,29,1,5,Completa
158,236,18/02/2024,44,21,4,5,Pendiente
159,434,18/02/2024,90,23,1,5,Completa
160,539,18/02/2024,274,14,2,5,Completa
161,801,18/02/2024,37,27,3,1,Completa
162,1007,18/2/2024,77,11,6,5,Completa
163,1181,18/2/2024,171,17,4,4,Completa
164,1625,18/2/2024,145,38,4,3,Completa
165,1983,18/2/2024,63,27,4,5,Completa
166,2409,18/2/2024,252,15,4,5,Completa
167,2964,18/2/2024,269,7,2,1,Completa
168,53,19/02/2024,66,30,2,5,Completa
169,447,19/02/2024,249,27,5,1,Completa
170,454,19/02/2024,131,13,5,4,Completa
171,1332,19/2/2024,1,29,4,4,Completa
172,1722,19/2/2024,266,7,3,4,Completa
173,2134,19/2/2024,116,29,5,2,Completa
174,2310,19/2/2024,139,11,2,5,Completa
175,2926,19/2/2024,210,37,2,1,Completa
176,2969,19/2/2024,128,9,1,5,Completa
177,11,20/02/2024,237,25,6,1,Completa
178,110,20/02/2024,31,11,2,3,Completa
179,979,20/02/2024,30,29,5,1,Completa
180,1633,20/2/2024,27,11,5,4,Completa
181,2176,20/2/2024,48,12,5,1,Completa
182,2227,20/2/2024,239,8,4,5,Completa
183,2325,20/2/2024,13,2,4,4,Completa
184,2427,20/2/2024,57,35,2,1,Completa
185,2929,20/2/2024,28,11,1,3,Completa
186,168,21/02/2024,186,2,1,4,Completa
187,691,21/02/2024,175,14,1,1,Completa
188,851,21/02/2024,13,14,2,4,Completa
189,986,21/02/2024,273,7,4,1,Completa
190,1041,21/2/2024,312,9,3,3,Completa
191,2560,21/2/2024,249,33,3,5,Completa
192,2751,21/2/2024,19,2,5,4,Completa
193,2905,21/2/2024,226,5,4,4,Completa
194,691,21/02/2024,175,14,1,1,Completa
195,338,22/02/2024,103,12,2,3,Completa
196,407,22/02/2024,32,5,3,3,Completa
197,1184,22/2/2024,106,38,6,5,Completa
198,1200,22/2/2024,143,32,1,5,Pendiente
199,1792,22/2/2024,81,9,4,1,Completa
200,2027,22/2/2024,184,32,4,1,Completa
201,2206,22/2/2024,236,23,1,1,Completa
202,2235,22/2/2024,20,28,6,5,Completa
203,2449,22/2/2024,262,1,2,5,Pendiente
204,2527,22/2/2024,55,14,3,5,Completa
205,85,23/02/2024,91,4,5,2,Completa
206,784,23/02/2024,279,10,4,2,Completa
207,1586,23/2/2024,166,38,2,4,Pendiente
208,2869,23/2/2024,247,4,2,4,Completa
209,2982,23/2/2024,229,34,2,4,Completa
210,88,24/02/2024,176,37,1,5,Completa
211,267,24/02/2024,273,13,1,4,Pendiente
212,342,24/02/2024,109,7,3,3,Completa
213,783,24/02/2024,124,30,1,2,Completa
214,948,24/02/2024,218,11,1,4,Completa
215,1416,24/2/2024,31,38,2,5,Completa
216,1674,24/2/2024,75,23,4,5,Pendiente
217,1852,24/2/2024,230,1,4,5,Pendiente
218,2439,24/2/2024,142,7,3,5,Completa
219,2835,24/2/2024,57,3,5,5,Pendiente
220,134,25/02/2024,308,10,1,4,Completa
221,1999,25/2/2024,209,33,2,5,Completa
222,2155,25/2/2024,162,17,1,3,Pendiente
223,2309,25/2/2024,82,1,4,4,Pendiente
224,2331,25/2/2024,228,1,2,3,Completa
225,2729,25/2/2024,166,9,4,3,Completa
226,39,26/02/2024,183,26,2,4,Completa
227,577,26/02/2024,169,3,1,3,Completa
228,1287,26/2/2024,22,25,6,1,Completa
229,1830,26/2/2024,291,32,4,4,Completa
230,2067,26/2/2024,73,23,1,4,Completa
231,2978,26/2/2024,108,3,3,1,Completa
232,713,27/02/2024,64,14,2,4,Completa
233,1841,27/2/2024,37,38,6,5,Completa
234,2248,27/2/2024,16,22,1,4,Pendiente
235,2272,27/2/2024,85,16,6,4,Completa
236,2442,27/2/2024,266,26,3,5,Completa
237,2789,27/2/2024,35,22,5,1,Completa
238,2901,27/2/2024,34,19,1,4,Completa
239,89,28/02/2024,6,10,2,3,Completa
240,271,28/02/2024,66,6,6,4,Completa
241,545,28/02/2024,20,26,4,4,Completa
242,795,28/02/2024,256,25,6,5,Completa
243,1749,28/2/2024,95,33,1,5,Completa
244,2047,28/2/2024,117,17,1,5,Completa
245,2294,28/2/2024,316,35,2,1,Completa
246,2346,28/2/2024,274,25,4,3,Completa
247,2460,28/2/2024,301,15,5,4,Completa
248,2550,28/2/2024,138,23,4,3,Pendiente
249,2600,28/2/2024,187,25,4,5,Completa
250,3,29/02/2024,31,21,3,3,Completa
251,123,29/02/2024,169,32,5,5,Completa
252,452,29/02/2024,115,4,5,4,Completa
253,1037,29/2/2024,48,30,6,4,Completa
254,1190,29/2/2024,119,21,1,3,Completa
255,1313,29/2/2024,95,13,2,3,Completa
256,1713,29/2/2024,265,14,2,4,Completa
257,1907,29/2/2024,278,12,3,5,Pendiente
258,2059,29/2/2024,84,20,6,3,Completa
259,2606,29/2/2024,221,7,2,4,Completa
260,66,01/03/2024,97,27,3,5,Completa
261,183,01/03/2024,31,38,3,3,Completa
262,1188,1/3/2024,255,27,3,5,Pendiente
263,1422,1/3/2024,58,2,1,4,Completa
264,1465,1/3/2024,36,14,2,5,Completa
265,1535,1/3/2024,255,8,1,3,Completa
266,2280,1/3/2024,134,18,1,4,Completa
267,2668,1/3/2024,117,19,5,1,Pendiente
268,2845,1/3/2024,71,5,6,3,Completa
269,72,02/03/2024,144,23,5,2,Completa
270,786,02/03/2024,292,19,6,4,Pendiente
271,2094,2/3/2024,276,25,5,3,Completa
272,2278,2/3/2024,163,5,3,5,Completa
273,95,03/03/2024,67,14,5,4,Completa
274,365,03/03/2024,90,8,5,5,Completa
275,382,03/03/2024,208,12,1,3,Completa
276,428,03/03/2024,308,28,4,5,Completa
277,610,03/03/2024,197,38,3,4,Pendiente
278,1069,3/3/2024,37,26,1,5,Completa
279,1164,3/3/2024,97,12,3,4,Pendiente
280,1214,3/3/2024,67,5,1,4,Completa
281,1501,3/3/2024,42,29,5,5,Completa
282,1730,3/3/2024,160,33,6,3,Completa
283,1867,3/3/2024,132,22,6,5,Pendiente
284,2042,3/3/2024,221,22,6,5,Completa
285,2327,3/3/2024,62,26,4,5,Completa
286,2391,3/3/2024,271,32,1,4,Completa
287,2420,3/3/2024,17,1,2,2,Completa
288,2778,3/3/2024,64,32,1,4,Completa
289,275,04/03/2024,27,11,5,4,Completa
290,298,04/03/2024,158,1,3,4,Completa
291,1531,4/3/2024,326,14,1,3,Pendiente
292,1737,4/3/2024,149,21,5,5,Completa
293,2547,4/3/2024,80,2,5,3,Completa
294,2913,4/3/2024,283,10,6,5,Completa
295,290,05/03/2024,123,31,4,2,Completa
296,408,05/03/2024,7,12,5,3,Completa
297,1171,5/3/2024,8,14,5,3,Completa
298,1589,5/3/2024,112,26,2,4,Pendiente
299,2479,5/3/2024,85,34,5,5,Completa
300,2669,5/3/2024,68,2,5,1,Pendiente
301,28,06/03/2024,240,23,3,3,Pendiente
302,311,06/03/2024,68,24,6,4,Completa
303,916,06/03/2024,307,17,3,3,Pendiente
304,1524,6/3/2024,292,34,2,5,Completa
305,2157,6/3/2024,193,2,1,3,Completa
306,2301,6/3/2024,321,7,1,1,Completa
307,2665,6/3/2024,36,20,6,5,Pendiente
308,210,07/03/2024,215,35,3,4,Completa
309,556,07/03/2024,104,23,5,1,Pendiente
310,606,07/03/2024,46,20,2,5,Completa
311,820,07/03/2024,148,7,3,5,Completa
312,1185,7/3/2024,58,22,2,4,Pendiente
313,1444,7/3/2024,23,25,4,4,Completa
314,1756,7/3/2024,309,13,5,4,Completa
315,1796,7/3/2024,32,4,2,4,Completa
316,2156,7/3/2024,193,26,5,1,Completa
317,2175,7/3/2024,255,3,1,4,Completa
318,2183,7/3/2024,38,36,4,1,Completa
319,2366,7/3/2024,222,17,2,4,Completa
320,2732,7/3/2024,311,4,6,3,Completa
321,54,08/03/2024,108,13,1,2,Completa
322,438,08/03/2024,307,29,5,2,Completa
323,620,08/03/2024,257,21,6,3,Completa
324,876,08/03/2024,42,23,3,2,Completa
325,1226,8/3/2024,91,35,6,5,Completa
326,1463,8/3/2024,299,17,4,2,Completa
327,1577,8/3/2024,25,26,5,4,Pendiente
328,2398,8/3/2024,203,30,1,4,Completa
329,362,09/03/2024,30,15,2,4,Completa
330,444,09/03/2024,164,9,6,5,Completa
331,790,09/03/2024,119,24,6,1,Completa
332,1634,9/3/2024,206,14,3,5,Pendiente
333,1788,9/3/2024,180,2,2,4,Completa
334,2512,9/3/2024,87,36,1,4,Completa
335,2769,9/3/2024,33,24,6,3,Completa
336,35,10/03/2024,62,9,6,3,Completa
337,152,10/03/2024,64,11,5,4,Completa
338,1142,10/3/2024,164,13,6,1,Completa
339,1639,10/3/2024,230,26,5,4,Completa
340,1957,10/3/2024,217,37,2,1,Completa
341,2678,10/3/2024,11,31,6,5,Pendiente
342,923,11/03/2024,172,2,1,1,Completa
343,1148,11/3/2024,67,25,5,4,Pendiente
344,1564,11/3/2024,238,23,2,2,Completa
345,2058,11/3/2024,206,9,2,4,Completa
346,2132,11/3/2024,215,11,3,3,Completa
347,2253,11/3/2024,278,2,2,2,Completa
348,437,12/03/2024,211,15,5,1,Completa
349,971,12/03/2024,213,29,6,4,Completa
350,2019,12/3/2024,49,13,6,4,Completa
351,2291,12/3/2024,69,6,6,5,Completa
352,2416,12/3/2024,49,11,5,4,Completa
353,2519,12/3/2024,30,3,6,1,Completa
354,2524,12/3/2024,117,9,2,3,Pendiente
355,2989,12/3/2024,147,31,6,3,Completa
356,426,13/03/2024,100,17,4,4,Completa
357,537,13/03/2024,262,3,6,2,Completa
358,656,13/03/2024,35,6,5,3,Completa
359,756,13/03/2024,81,12,4,4,Completa
360,762,13/03/2024,81,3,5,1,Completa
361,1808,13/3/2024,303,11,5,2,Completa
362,1970,13/3/2024,167,10,1,2,Completa
363,2180,13/3/2024,74,18,5,3,Completa
364,2260,13/3/2024,54,1,3,5,Completa
365,2274,13/3/2024,213,35,1,1,Completa
366,31,14/03/2024,267,2,1,3,Completa
367,124,14/03/2024,173,13,5,3,Completa
368,225,14/03/2024,104,38,3,4,Pendiente
369,607,14/03/2024,251,9,5,2,Completa
370,705,14/03/2024,185,17,2,1,Completa
371,1033,14/3/2024,78,1,3,5,Completa
372,1228,14/3/2024,291,1,6,1,Completa
373,1537,14/3/2024,138,37,1,1,Completa
374,1864,14/3/2024,15,10,5,4,Completa
375,2545,14/3/2024,233,12,1,4,Completa
376,2973,14/3/2024,134,7,3,3,Completa
377,817,15/03/2024,31,3,2,4,Completa
378,1494,15/3/2024,157,23,3,1,Completa
379,1601,15/3/2024,313,34,4,1,Completa
380,1618,15/3/2024,14,18,3,5,Pendiente
381,1622,15/3/2024,211,16,2,5,Completa
382,1646,15/3/2024,143,8,3,3,Completa
383,2073,15/3/2024,283,11,4,4,Completa
384,2107,15/3/2024,299,3,5,3,Completa
385,2204,15/3/2024,55,28,1,5,Completa
386,2660,15/3/2024,28,7,6,4,Completa
387,2808,15/3/2024,11,38,6,4,Completa
388,40,16/03/2024,125,34,6,1,Completa
389,42,16/03/2024,259,32,5,5,Completa
390,199,16/03/2024,226,30,4,4,Pendiente
391,1083,16/3/2024,111,26,5,4,Completa
392,1085,16/3/2024,232,20,3,3,Completa
393,1111,16/3/2024,65,16,2,3,Completa
394,1249,16/3/2024,77,21,1,3,Completa
395,1561,16/3/2024,200,22,5,4,Completa
396,1708,16/3/2024,68,16,1,4,Completa
397,2201,16/3/2024,63,34,6,5,Completa
398,2264,16/3/2024,87,11,6,5,Completa
399,2689,16/3/2024,108,30,5,4,Completa
400,2740,16/3/2024,224,7,5,4,Completa
401,2951,16/3/2024,229,32,1,4,Completa
402,18,17/03/2024,179,10,3,4,Completa
403,827,17/03/2024,246,8,2,5,Completa
404,875,17/03/2024,321,15,6,5,Completa
405,884,17/03/2024,312,16,5,2,Pendiente
406,1121,17/3/2024,88,34,3,5,Pendiente
407,1137,17/3/2024,295,32,6,3,Completa
408,1290,17/3/2024,323,25,5,3,Completa
409,1682,17/3/2024,48,38,4,4,Completa
410,2091,17/3/2024,44,21,3,5,Completa
411,2261,17/3/2024,305,4,6,4,Completa
412,2478,17/3/2024,109,29,3,3,Completa
413,414,18/03/2024,151,35,3,5,Completa
414,1133,18/3/2024,313,32,4,5,Completa
415,1156,18/3/2024,37,2,3,1,Completa
416,1545,18/3/2024,8,19,2,1,Completa
417,2135,18/3/2024,50,31,6,4,Completa
418,2917,18/3/2024,17,35,5,3,Pendiente
419,2981,18/3/2024,36,11,2,4,Completa
420,44,19/03/2024,122,30,2,4,Completa
421,208,19/03/2024,66,29,3,1,Completa
422,1357,19/3/2024,71,23,5,1,Pendiente
423,1777,19/3/2024,113,3,2,5,Completa
424,1874,19/3/2024,92,15,4,3,Completa
425,2112,19/3/2024,119,22,4,2,Pendiente
426,2563,19/3/2024,99,15,4,4,Completa
427,2585,19/3/2024,323,19,1,1,Completa
428,2628,19/3/2024,195,14,5,2,Completa
429,118,20/03/2024,26,25,4,5,Completa
430,741,20/03/2024,222,31,6,5,Completa
431,968,20/03/2024,3,23,3,4,Completa
432,1071,20/3/2024,135,14,6,4,Completa
433,1108,20/3/2024,270,25,6,2,Pendiente
434,1130,20/3/2024,213,4,2,2,Completa
435,1903,20/3/2024,278,33,2,5,Completa
436,1920,20/3/2024,184,36,6,3,Completa
437,1984,20/3/2024,321,38,2,1,Pendiente
438,2054,20/3/2024,209,37,3,5,Completa
439,2720,20/3/2024,145,7,4,3,Completa
440,911,21/03/2024,288,19,1,4,Completa
441,1096,21/3/2024,204,37,5,4,Completa
442,1098,21/3/2024,178,25,3,4,Completa
443,1473,21/3/2024,255,18,1,5,Pendiente
444,1606,21/3/2024,278,27,6,4,Completa
445,1998,21/3/2024,279,31,1,1,Pendiente
446,2243,21/3/2024,326,18,2,2,Completa
447,2397,21/3/2024,238,32,2,3,Completa
448,416,22/03/2024,110,29,2,4,Completa
449,608,22/03/2024,105,14,5,3,Completa
450,1028,22/3/2024,267,31,3,4,Completa
451,1118,22/3/2024,106,13,2,1,Completa
452,1210,22/3/2024,266,6,4,5,Completa
453,1504,22/3/2024,168,3,4,4,Completa
454,1773,22/3/2024,88,25,4,5,Completa
455,1809,22/3/2024,90,31,3,3,Completa
456,2040,22/3/2024,313,12,5,1,Completa
457,2251,22/3/2024,238,36,4,5,Completa
458,2372,22/3/2024,177,8,1,1,Completa
459,2907,22/3/2024,207,6,2,3,Completa
460,405,23/03/2024,122,16,2,4,Pendiente
461,970,23/03/2024,212,16,6,3,Completa
462,1795,23/3/2024,1,12,6,4,Completa
463,1814,23/3/2024,175,4,4,1,Completa
464,2258,23/3/2024,17,33,3,4,Completa
465,2467,23/3/2024,25,4,3,5,Completa
466,2815,23/3/2024,171,1,6,5,Completa
467,785,24/03/2024,132,9,5,5,Completa
468,1549,24/3/2024,260,17,1,2,Completa
469,1942,24/3/2024,41,31,1,4,Pendiente
470,1947,24/3/2024,288,29,2,5,Completa
471,2008,24/3/2024,162,15,4,4,Completa
472,2861,24/3/2024,147,21,5,4,Completa
473,113,25/03/2024,72,19,1,3,Pendiente
474,170,25/03/2024,269,20,3,4,Completa
475,378,25/03/2024,199,25,1,4,Completa
476,1139,25/3/2024,8,36,5,1,Completa
477,1399,25/3/2024,90,27,2,3,Completa
478,1710,25/3/2024,131,27,1,3,Completa
479,1866,25/3/2024,272,5,5,1,Completa
480,2164,25/3/2024,292,36,5,5,Completa
481,2854,25/3/2024,208,33,2,5,Pendiente
482,2993,25/3/2024,117,4,2,1,Completa
483,464,26/03/2024,323,5,4,4,Completa
484,469,26/03/2024,134,17,4,4,Completa
485,1025,26/3/2024,288,15,3,5,Pendiente
486,1125,26/3/2024,9,26,5,4,Pendiente
487,1321,26/3/2024,94,6,4,1,Completa
488,1556,26/3/2024,65,8,2,1,Completa
489,1667,26/3/2024,81,24,6,3,Completa
490,2182,26/3/2024,116,2,6,2,Completa
491,2570,26/3/2024,17,7,6,5,Completa
492,2623,26/3/2024,237,3,5,4,Completa
493,2683,26/3/2024,14,28,1,2,Completa
494,172,27/03/2024,268,24,6,1,Completa
495,295,27/03/2024,223,32,6,2,Completa
496,559,27/03/2024,97,24,5,2,Completa
497,737,27/03/2024,48,30,1,5,Completa
498,1278,27/3/2024,11,29,5,4,Pendiente
499,1312,27/3/2024,215,35,5,3,Completa
500,1627,27/3/2024,323,13,1,5,Completa
501,1666,27/3/2024,56,25,1,3,Completa
502,1679,27/3/2024,273,38,4,3,Completa
503,2048,27/3/2024,261,25,3,4,Completa
504,2225,27/3/2024,269,34,1,4,Completa
505,2630,27/3/2024,223,19,5,3,Completa
506,249,28/03/2024,1,31,2,5,Pendiente
507,279,28/03/2024,54,10,4,4,Completa
508,321,28/03/2024,205,35,4,5,Completa
509,669,28/03/2024,44,19,4,3,Completa
510,988,28/03/2024,266,21,5,2,Completa
511,1086,28/3/2024,40,22,6,5,Completa
512,1153,28/3/2024,130,27,6,3,Completa
513,2507,28/3/2024,243,33,3,4,Completa
514,669,28/03/2024,44,19,4,3,Completa
515,86,29/03/2024,188,30,2,4,Completa
516,189,29/03/2024,170,30,1,1,Completa
517,468,29/03/2024,45,17,5,1,Completa
518,511,29/03/2024,98,31,6,3,Completa
519,1129,29/3/2024,275,36,4,4,Pendiente
520,1169,29/3/2024,8,28,5,4,Completa
521,1409,29/3/2024,86,14,6,4,Completa
522,1828,29/3/2024,52,14,2,2,Completa
523,2142,29/3/2024,165,23,2,1,Pendiente
524,265,30/03/2024,257,28,1,1,Completa
525,432,30/03/2024,197,25,5,3,Completa
526,1624,30/3/2024,71,1,2,5,Completa
527,2580,30/3/2024,287,22,4,3,Pendiente
528,2863,30/3/2024,194,1,5,5,Completa
529,2891,30/3/2024,76,7,1,4,Completa
530,209,31/03/2024,311,35,3,2,Completa
531,293,31/03/2024,310,35,3,3,Completa
532,433,31/03/2024,218,29,6,5,Completa
533,590,31/03/2024,194,13,6,1,Completa
534,853,31/03/2024,176,35,2,4,Completa
535,1045,31/3/2024,258,32,3,4,Completa
536,1705,31/3/2024,321,18,4,1,Completa
537,1976,31/3/2024,299,18,6,5,Completa
538,2213,31/3/2024,230,19,4,2,Pendiente
539,2303,1/4/2024,314,2,1,5,Pendiente
540,2326,1/4/2024,201,26,3,5,Completa
541,2385,1/4/2024,76,12,4,3,Completa
542,2611,1/4/2024,63,1,4,5,Completa
543,2914,1/4/2024,66,22,6,4,Pendiente
544,160,02/04/2024,106,25,6,4,Completa
545,837,02/04/2024,102,4,3,1,Completa
546,1224,2/4/2024,60,4,3,5,Pendiente
547,1819,2/4/2024,192,22,5,1,Pendiente
548,1968,2/4/2024,285,12,2,5,Pendiente
549,2413,2/4/2024,248,31,5,4,Completa
550,2465,2/4/2024,240,9,3,2,Completa
551,2899,2/4/2024,163,34,5,1,Pendiente
552,232,03/04/2024,144,24,3,3,Completa
553,339,03/04/2024,81,21,1,3,Completa
554,844,03/04/2024,258,22,2,2,Pendiente
555,1687,3/4/2024,160,23,6,5,Completa
556,1704,3/4/2024,104,3,4,4,Completa
557,1913,3/4/2024,78,33,5,4,Completa
558,2532,3/4/2024,28,13,5,4,Completa
559,2571,3/4/2024,54,18,5,4,Completa
560,2641,3/4/2024,172,8,3,3,Completa
561,2795,3/4/2024,39,8,5,4,Completa
562,2954,3/4/2024,237,27,6,3,Completa
563,2961,3/4/2024,141,25,2,1,Completa
564,327,04/04/2024,203,27,4,2,Completa
565,491,04/04/2024,25,5,5,5,Completa
566,1175,4/4/2024,189,17,3,1,Completa
567,1417,4/4/2024,126,13,5,3,Completa
568,1782,4/4/2024,145,13,2,3,Completa
569,1872,4/4/2024,239,16,6,1,Completa
570,2844,4/4/2024,213,22,3,5,Completa
571,2879,4/4/2024,186,3,5,4,Completa
572,245,05/04/2024,101,32,4,4,Completa
573,799,05/04/2024,55,19,1,5,Pendiente
574,905,05/04/2024,151,3,2,4,Completa
575,1195,5/4/2024,47,16,3,3,Completa
576,2276,5/4/2024,62,23,6,4,Pendiente
577,2884,5/4/2024,307,32,3,1,Completa
578,2945,5/4/2024,245,20,1,5,Completa
579,2995,5/4/2024,38,34,5,5,Completa
